"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 16 07:27:22 GMT 2025","Wed Apr 16 07:27:22 GMT 2025","186","","","","","","Successful login with valid credentials",""
"passed","Wed Apr 16 07:27:22 GMT 2025","Wed Apr 16 07:27:22 GMT 2025","54","","","","","","Retrieve users from page 2",""
"passed","Wed Apr 16 07:27:23 GMT 2025","Wed Apr 16 07:27:25 GMT 2025","1191","","","","","","Get users list with different delay times -- @1.1 ",""
"passed","Wed Apr 16 07:33:26 GMT 2025","Wed Apr 16 07:33:27 GMT 2025","945","","","","","","Login as problem_user -- @1.2 ",""
"failed","Wed Apr 16 07:30:13 GMT 2025","Wed Apr 16 07:30:14 GMT 2025","1169","","","","","","Checkout process through product details pages for ""locked_out_user"" -- @1.6 ",""
"failed","Wed Apr 16 07:30:39 GMT 2025","Wed Apr 16 07:30:55 GMT 2025","16442","","","","","","Add product to cart - performance_glitch_user -- @1.3 ",""
"passed","Wed Apr 16 07:27:27 GMT 2025","Wed Apr 16 07:27:30 GMT 2025","3178","","","","","","Get users list with different delay times -- @1.3 ",""
"failed","Wed Apr 16 07:30:27 GMT 2025","Wed Apr 16 07:30:39 GMT 2025","11432","","","","","","Add product to cart - problem_user -- @1.2 ",""
"passed","Wed Apr 16 07:30:23 GMT 2025","Wed Apr 16 07:30:24 GMT 2025","1097","","","","","","Verify inventory functionality as error_user -- @1.4 ",""
"failed","Wed Apr 16 07:29:26 GMT 2025","Wed Apr 16 07:29:38 GMT 2025","11426","","","","","","Complete checkout process with multiple items for ""error_user"" -- @1.4 ",""
"failed","Wed Apr 16 07:32:32 GMT 2025","Wed Apr 16 07:32:43 GMT 2025","11388","","","","","","Remove product from cart for problem_user -- @1.2 ",""
"failed","Wed Apr 16 07:30:11 GMT 2025","Wed Apr 16 07:30:13 GMT 2025","1468","","","","","","Checkout process through product details pages for ""visual_user"" -- @1.5 ",""
"failed","Wed Apr 16 07:32:20 GMT 2025","Wed Apr 16 07:32:32 GMT 2025","11411","","","","","","Remove product from cart for standard_user -- @1.1 ",""
"failed","Wed Apr 16 07:30:55 GMT 2025","Wed Apr 16 07:31:07 GMT 2025","11414","","","","","","Add product to cart - error_user -- @1.4 ",""
"failed","Wed Apr 16 07:31:18 GMT 2025","Wed Apr 16 07:31:29 GMT 2025","11427","","","","","","Add multiple products to cart for standard_user -- @1.1 ",""
"failed","Wed Apr 16 07:32:09 GMT 2025","Wed Apr 16 07:32:20 GMT 2025","11404","","","","","","Add multiple products to cart for visual_user -- @1.5 ",""
"failed","Wed Apr 16 07:29:38 GMT 2025","Wed Apr 16 07:29:49 GMT 2025","11445","","","","","","Complete checkout process with multiple items for ""visual_user"" -- @1.5 ",""
"failed","Wed Apr 16 07:27:50 GMT 2025","Wed Apr 16 07:27:55 GMT 2025","4370","","","","","","Add and remove items from cart as standard_user -- @1.1 ",""
"failed","Wed Apr 16 07:29:49 GMT 2025","Wed Apr 16 07:29:50 GMT 2025","1106","","","","","","Complete checkout process with multiple items for ""locked_out_user"" -- @1.6 ",""
"passed","Wed Apr 16 07:33:24 GMT 2025","Wed Apr 16 07:33:26 GMT 2025","1956","","","","","","Login as standard_user -- @1.1 ",""
"failed","Wed Apr 16 07:30:25 GMT 2025","Wed Apr 16 07:30:26 GMT 2025","1084","","","","","","Verify inventory functionality as locked_out_user -- @1.6 ",""
"passed","Wed Apr 16 07:33:35 GMT 2025","Wed Apr 16 07:33:35 GMT 2025","929","","","","","","Login with locked out user",""
"passed","Wed Apr 16 07:27:23 GMT 2025","Wed Apr 16 07:27:23 GMT 2025","185","","","","","","Update user using PATCH method",""
"passed","Wed Apr 16 07:33:33 GMT 2025","Wed Apr 16 07:33:35 GMT 2025","1067","","","","","","Login as visual_user -- @1.5 ",""
"failed","Wed Apr 16 07:30:10 GMT 2025","Wed Apr 16 07:30:11 GMT 2025","1504","","","","","","Checkout process through product details pages for ""error_user"" -- @1.4 ",""
"failed","Wed Apr 16 07:28:06 GMT 2025","Wed Apr 16 07:28:23 GMT 2025","16450","","","","","","Add and remove items from cart as performance_glitch_user -- @1.3 ",""
"passed","Wed Apr 16 07:33:50 GMT 2025","Wed Apr 16 07:33:51 GMT 2025","842","","","","","","Login with empty username",""
"failed","Wed Apr 16 07:33:12 GMT 2025","Wed Apr 16 07:33:23 GMT 2025","11464","","","","","","Remove product from cart for visual_user -- @1.5 ",""
"passed","Wed Apr 16 07:27:25 GMT 2025","Wed Apr 16 07:27:27 GMT 2025","2180","","","","","","Get users list with different delay times -- @1.2 ",""
"failed","Wed Apr 16 07:30:24 GMT 2025","Wed Apr 16 07:30:25 GMT 2025","1447","","","","","","Verify inventory functionality as visual_user -- @1.5 ",""
"failed","Wed Apr 16 07:27:55 GMT 2025","Wed Apr 16 07:28:06 GMT 2025","11486","","","","","","Add and remove items from cart as problem_user -- @1.2 ",""
"failed","Wed Apr 16 07:29:50 GMT 2025","Wed Apr 16 07:30:02 GMT 2025","11539","","","","","","Checkout process through product details pages for ""standard_user"" -- @1.1 ",""
"passed","Wed Apr 16 07:33:33 GMT 2025","Wed Apr 16 07:33:33 GMT 2025","932","","","","","","Login as error_user -- @1.4 ",""
"failed","Wed Apr 16 07:32:43 GMT 2025","Wed Apr 16 07:32:59 GMT 2025","16409","","","","","","Remove product from cart for performance_glitch_user -- @1.3 ",""
"failed","Wed Apr 16 07:30:03 GMT 2025","Wed Apr 16 07:30:10 GMT 2025","6424","","","","","","Checkout process through product details pages for ""performance_glitch_user"" -- @1.3 ",""
"failed","Wed Apr 16 07:31:41 GMT 2025","Wed Apr 16 07:31:57 GMT 2025","16429","","","","","","Add multiple products to cart for performance_glitch_user -- @1.3 ",""
"failed","Wed Apr 16 07:31:07 GMT 2025","Wed Apr 16 07:31:18 GMT 2025","11411","","","","","","Add product to cart - visual_user -- @1.5 ",""
"passed","Wed Apr 16 07:27:23 GMT 2025","Wed Apr 16 07:27:23 GMT 2025","181","","","","","","Failed login with missing password",""
"failed","Wed Apr 16 07:28:45 GMT 2025","Wed Apr 16 07:28:46 GMT 2025","1096","","","","","","Add and remove items from cart as locked_out_user -- @1.6 ",""
"failed","Wed Apr 16 07:28:58 GMT 2025","Wed Apr 16 07:29:10 GMT 2025","11436","","","","","","Complete checkout process with multiple items for ""problem_user"" -- @1.2 ",""
"passed","Wed Apr 16 07:33:52 GMT 2025","Wed Apr 16 07:33:53 GMT 2025","1041","","","","","","Sort products from Z to A",""
"passed","Wed Apr 16 07:33:36 GMT 2025","Wed Apr 16 07:33:37 GMT 2025","942","","","","","","Login with typo in username",""
"passed","Wed Apr 16 07:27:22 GMT 2025","Wed Apr 16 07:27:23 GMT 2025","213","","","","","","Update user using PUT method",""
